key|text
title|Feria FP
leyenda_menu|Menú - Barra de navegación
saludo1|Bienvenido a la página internacional.
saludo2|Bienvenido a la aplicación realizada siguiendo el patrón MVC.
Saludo|
Inicio|
Revista|
Libros|
h1#titulo|I Feria de FP
h1#subtitulo|Taller: Pon tu impronta en una aplicación Web
Autor|
Fecha última actualización|
Español|
Inglés|
Contactar|
inicio.index.p1|Bienvenido a mi biblioteca.
inicio.index.p2|Pulsa el botón para ver mis libros.
aquí|
libros.index.h1|Mis últimos libros leidos
